Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,1990,36613,1485.0,121.0,16.37
Albania,1991,29068,1485.0,121.0,15.36
Albania,1992,24876,1485.0,121.0,16.06
Albania,1993,24185,1485.0,121.0,16.05
Albania,1994,25848,1485.0,201.0,16.96
Albania,1995,31300,1485.0,251.0,15.67
Albania,1996,32604,1485.0,313.96,15.64
Albania,1997,31862,1485.0,376.93,15.9
Albania,1998,33416,1485.0,439.89,16.27
Albania,1999,37455,1485.0,502.86,16.57
Albania,2000,38811,1485.0,565.82,16.67
Albania,2001,38135,1485.0,628.79,16.59
Albania,2002,39460,1485.0,691.75,16.47
Albania,2004,46197,1485.0,817.68,16.16
Albania,2005,45442,1485.0,880.64,15.67
Albania,2006,50111,1485.0,943.61,15.92
Albania,2007,46732,1485.0,1006.57,16.67
Albania,2008,50000,1485.0,1069.54,16.71
Albania,2009,55693,1485.0,1132.5,16.73
Albania,2010,66790,1485.0,1311.17,16.52
Albania,2011,59869,1485.0,1302.63,16.45
Albania,2012,67290,1485.0,766.25,16.7
Albania,2013,69533,1485.0,982.32,17.41
Algeria,1990,16500,89.0,1828.92,17.48
Algeria,1991,19231,89.0,2461.8,16.26
Algeria,1992,22828,89.0,1215.47,16.27
Algeria,1993,12500,89.0,1021.89,17.0
Algeria,1994,4512,89.0,1255.02,17.88
Algeria,1995,16115,89.0,2697.09,17.36
Algeria,1996,17154,89.0,479.77,16.76
Algeria,1997,21417,89.0,401.22,17.84
Algeria,1998,17222,89.0,322.84,17.14
Algeria,1999,22375,89.0,654.45,17.97
Algeria,2000,36186,89.0,603.67,17.9
Algeria,2001,27175,89.0,710.11,18.13
Algeria,2002,33480,89.0,816.55,17.85
Algeria,2004,31729,89.0,3747.86,17.38
Algeria,2005,33864,89.0,3662.87,17.19
Algeria,2006,65668,89.0,4110.72,18.13
Algeria,2007,85625,89.0,5390.79,17.42
Algeria,2008,44714,89.0,11556.12,17.55
Algeria,2009,30914,89.0,3867.99,17.78
Algeria,2010,25827,89.0,1295.88,17.59
Algeria,2011,23374,89.0,13861.76,17.79
Algeria,2012,25583,89.0,17379.76,17.91
Algeria,2013,33649,89.0,17278.65,17.65
Angola,1990,2736,1010.0,64.0,24.12
Angola,1991,4013,1010.0,79.0,24.02
Angola,1992,3778,1010.0,23.0,23.96
Angola,1993,2627,1010.0,169.0,24.15
Angola,1994,2463,1010.0,25.5,24.04
Angola,1995,3517,1010.0,336.0,24.56
Angola,1996,6993,1010.0,40.0,24.11
Angola,1997,5959,1010.0,40.0,24.06
Angola,1998,7396,1010.0,40.0,24.96
Angola,1999,6361,1010.0,40.0,24.37
Angola,2000,5745,1010.0,40.0,24.41
Angola,2001,5754,1010.0,40.0,24.43
Angola,2002,6706,1010.0,40.0,24.79
Angola,2004,5404,1010.0,40.0,24.22
Angola,2005,6736,1010.0,40.0,24.41
Angola,2006,4687,1010.0,40.0,24.14
Angola,2007,5091,1010.0,40.0,24.24
Angola,2008,7946,1010.0,40.0,24.27
Angola,2009,6614,1010.0,40.0,24.33
Angola,2010,7200,1010.0,40.0,24.44
Angola,2011,7376,1010.0,40.0,24.15
Angola,2012,7770,1010.0,40.0,24.24
Angola,2013,9467,1010.0,40.0,24.55
Argentina,1990,34608,591.0,26156.0,17.46
Argentina,1990,34608,591.0,26156.0,17.67
Argentina,1991,40444,591.0,26156.0,17.64
Argentina,1991,40444,591.0,26156.0,17.86
Argentina,1992,45237,591.0,26156.0,17.09
Argentina,1992,45237,591.0,26156.0,17.51
Argentina,1993,43552,591.0,26156.0,17.32
Argentina,1993,43552,591.0,26156.0,17.53
Argentina,1994,42371,591.0,30195.0,18.17
Argentina,1994,42371,591.0,30195.0,18.31
Argentina,1995,45223,591.0,37842.0,17.74
Argentina,1995,45223,591.0,37842.0,17.62
Argentina,1996,40397,591.0,54595.0,17.64
Argentina,1996,40397,591.0,54595.0,17.97
Argentina,1997,45557,591.0,77691.0,18.29
Argentina,1997,45557,591.0,77691.0,18.54
Argentina,1998,60780,591.0,62397.0,17.23
Argentina,1998,60780,591.0,62397.0,17.52
Argentina,1999,53702,591.0,62831.39,17.15
Argentina,1999,53702,591.0,62831.39,17.71
