Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,N_kg/ha,pesticide_load,continent
Albania,1990,36613,1485.0,121.0,16.37,104.4,low,Europe
Albania,1991,29068,1485.0,121.0,15.36,31.72,low,Europe
Albania,1992,24876,1485.0,121.0,16.06,21.05,low,Europe
Albania,1993,24185,1485.0,121.0,16.05,21.68,low,Europe
Albania,1994,25848,1485.0,201.0,16.96,18.06,low,Europe
Albania,1995,31300,1485.0,251.0,15.67,14.25,low,Europe
Albania,1996,32604,1485.0,313.96,15.64,7.83,low,Europe
Albania,1997,31862,1485.0,376.93,15.9,6.0,low,Europe
Albania,1998,33416,1485.0,439.89,16.27,25.75,low,Europe
Albania,1999,37455,1485.0,502.86,16.57,8.3,low,Europe
Albania,2000,38811,1485.0,565.82,16.67,17.31,low,Europe
Albania,2001,38135,1485.0,628.79,16.59,15.31,low,Europe
Albania,2002,39460,1485.0,691.75,16.47,54.67,low,Europe
Albania,2004,46197,1485.0,817.68,16.16,51.67,low,Europe
Albania,2005,45442,1485.0,880.64,15.67,56.47,low,Europe
Albania,2006,50111,1485.0,943.61,15.92,43.03,low,Europe
Albania,2007,46732,1485.0,1006.57,16.67,45.11,low,Europe
Albania,2008,50000,1485.0,1069.54,16.71,41.24,low,Europe
Albania,2009,55693,1485.0,1132.5,16.73,48.76,low,Europe
Albania,2010,66790,1485.0,1311.17,16.52,44.96,low,Europe
Albania,2011,59869,1485.0,1302.63,16.45,53.01,low,Europe
Albania,2012,67290,1485.0,766.25,16.7,50.21,low,Europe
Albania,2013,69533,1485.0,982.32,17.41,44.11,low,Europe
Algeria,1990,16500,89.0,1828.92,17.48,8.25,low,Africa
Algeria,1991,19231,89.0,2461.8,16.26,5.25,low,Africa
Algeria,1992,22828,89.0,1215.47,16.27,5.77,low,Africa
Algeria,1993,12500,89.0,1021.89,17.0,9.15,low,Africa
Algeria,1994,4512,89.0,1255.02,17.88,7.27,low,Africa
Algeria,1995,16115,89.0,2697.09,17.36,2.29,low,Africa
Algeria,1996,17154,89.0,479.77,16.76,1.74,low,Africa
Algeria,1997,21417,89.0,401.22,17.84,4.41,low,Africa
Algeria,1998,17222,89.0,322.84,17.14,5.38,low,Africa
Algeria,1999,22375,89.0,654.45,17.97,5.74,low,Africa
Algeria,2000,36186,89.0,603.67,17.9,5.41,low,Africa
Algeria,2001,27175,89.0,710.11,18.13,5.55,low,Africa
Algeria,2002,33480,89.0,816.55,17.85,3.42,low,Africa
